OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
391,Substation,Wallerawang,330,Terminal ,Wallerawang,New South Wales,Operational,20080101,Wallerawang_8931_50cm_IR_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.406412,150.08107
392,Substation,Wallerawang,330,Power Station,Wallerawang,New South Wales,Operational,20080101,Wallerawang_8931_50cm_IR_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.403181,150.080755
393,Substation,Orange,132,Zone ,Orange,New South Wales,Operational,20070101,Orange_8731_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.279692,149.105905
394,Substation,Wellington Town,132,Zone ,Wellington,New South Wales,Operational,20090101,Wellington_8632_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.570351,148.954736
395,Substation,Mount Piper,500,Terminal ,Blackmans Flat,New South Wales,Operational,20080101,Wallerawang_8931_50cm_IR_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.363884,150.026114
396,Substation,Panorama,132,Zone ,Evans Plains,New South Wales,Operational,20070101,Bathurst_8831_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.43022,149.521361
397,Substation,Mudgee,132,Zone ,Mudgee,New South Wales,Operational,20070101,Mudgee_8832_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.585962,149.569348
398,Substation,Wellington,330,Terminal ,Wuuluman,New South Wales,Operational,20090101,Wellington_8632_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.52717,148.963165
399,Substation,Ilford,132,Transmission ,Ilford,New South Wales,Operational,20070101,Mudgee_8832_50cm_2007,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.959537,149.863593
400,Substation,Cooma,132,Zone ,Cooma,New South Wales,Operational,20041221,sp5xi2p5_386423_211204.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-36.218227,149.140308
401,Substation,Burrinjuck,132,Zone ,Burrinjuck,New South Wales,Operational,20080101,Brindabella_8627_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.000947,148.582466
402,Substation,Tumut 2,330,Power Station,Cabramurra,New South Wales,Operational,20080101,Yarrangobilly_8526_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.881415,148.367206
403,Substation,Gadara,110,Zone ,Gadara,New South Wales,Operational,20080101,Tumut_8429_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.296159,148.135482
404,Substation,Guthega,132,Zone ,Kosciuszko National Park,New South Wales,Operational,19990101,Kosciusko.ecw,20130214,AEMO-Australian Energy Market Operators 2013,4,20130730,-36.349443,148.413429
405,Substation,Murray,330,Terminal ,Khancoban,New South Wales,Operational,20090101,sp5col2p5_SJ5503_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-36.225549,148.144271
406,Substation,Coleambally,132,Zone ,Coleambally,New South Wales,Operational,20090111,SPOTCOV_AUM_S35E145-D,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.741013,145.953707
407,Substation,Isis,132,Zone ,Isis River,Queensland,Operational,20070101,Childers_9347_60cm_2007.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-25.255179,152.3667
408,Substation,Craiglie,132,Zone ,Craiglie,Queensland,Operational,20070823,Rumula_7964_2p5m_SPOTMaps.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-16.530853,145.457735
409,Substation,Yornup,66,Zone ,Yornup,Western Australia,Operational,20071101,Manjimup_2129_Nov_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-34.055072,116.17118
410,Substation,Manjimup,132,Zone ,Diamond Tree,Western Australia,Operational,20071101,Manjimup_2129_Nov_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-34.326218,116.110532
411,Substation,Bridgetown,132,Zone ,Bridgetown,Western Australia,Operational,20070201,Bridgetown_2130_Feb_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.920446,116.137369
412,Substation,Margaret River,66,Zone ,Margaret River,Western Australia,Operational,20070301,Busselton_1930_Mar_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.953348,115.084153
413,Substation,Westralian Sands,66,Sole Use,Capel,Western Australia,Operational,20070201,Donnybrook_2030_Feb_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.512227,115.586968
414,Substation,Capel,66,Zone ,Capel,Western Australia,Operational,20070201,Donnybrook_2030_Feb_2007_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.570748,115.528312
415,Substation,Picton,132,Terminal ,Picton,Western Australia,Operational,20080101,Bunbury_2031_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.35054,115.701407
416,Substation,Bunbury Harbour,132,Zone ,Vittoria,Western Australia,Operational,20080101,Bunbury_2031_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.334677,115.668335
417,Substation,Marriot Road,132,Zone ,Wellesley,Western Australia,Operational,20080101,Bunbury_2031_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.215735,115.759801
418,Substation,Barrack Silicon,132,Sole Use,Wellesley,Western Australia,Operational,20080101,Bunbury_2031_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.219077,115.746437
419,Substation,Kemerton,330,Terminal ,Wokalup,Western Australia,Operational,20080101,Bunbury_2031_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.152779,115.766305
420,Substation,Narrogin South,220,Terminal ,Narrogin Valley,Western Australia,Operational,20051201,Narrogin_2332_Dec_2005_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-32.961196,117.193667
